GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example,Reloj,0,31,0,2,0,11,0,5,0,4
demo,com.example,Board,31,698,9,81,8,121,9,63,1,23
demo,com.example,Tetris,0,98,0,8,0,17,0,9,0,5
demo,com.example,PiecesStats,3,19,0,0,1,5,1,3,1,3
demo,com.example.Pieces,PieceEleLeft,0,68,0,0,0,13,0,4,0,4
demo,com.example.Pieces,PieceEleRight,4,71,0,0,2,14,1,5,1,5
demo,com.example.Pieces,PieceStick,4,41,0,0,2,8,1,3,1,3
demo,com.example.Pieces,PieceSquare,4,36,0,0,2,8,1,3,1,3
demo,com.example.Pieces,PieceDogRight,4,55,0,0,2,10,1,3,1,3
demo,com.example.Pieces,PieceDogLeft,7,52,0,0,3,9,2,2,2,2
demo,com.example.Pieces,PieceT,4,55,0,0,2,10,1,3,1,3
